,Unnamed: 0,article_link,headline,is_sarcastic
104,104,https://www.theonion.com/girlfriend-dumped-after-forwarding-stupid-link-1819567104,girlfriend dumped after forwarding stupid link,1
105,105,https://www.huffingtonpost.com/entry/winchester-university-diversity-satire_n_5947538.html,this school is all about diversity. not!,0
106,106,https://politics.theonion.com/congress-launches-national-congress-awareness-week-1819567406,congress launches national congress-awareness week,1
107,107,https://www.huffingtonpost.com/entry/open-sesame-not-always-magic-words_b_7482926.html,'open sesame' are  not always magic words,0
108,108,https://politics.theonion.com/media-outlets-pledge-evenhanded-criticism-of-trump-cli-1819579437,"media outlets pledge evenhanded criticism of trump, clinton over next 4 years",0
109,109,https://local.theonion.com/you-just-have-to-get-to-know-area-jerk-1819564761,you just have to get to know area jerk,1
110,110,https://www.huffingtonpost.com/entry/moving-forward-from-charlottesville_us_599b58a4e4b0ac90f2cba94c,moving forward from charlottesville,0
111,111,https://www.huffingtonpost.com/entry/to-wax-or-not-to-wax_b_5580920.html,to wax or not to wax?,1
112,112,https://www.huffingtonpost.com/entry/most-flattering-lipstick-best-beauty-list_n_6036900.html,beyoncé's mom steals the red carpet spotlight,0
113,113,https://www.theonion.com/bath-body-works-unveils-new-soothing-eucalyptus-road-1823800845,bath & body works unveils new soothing eucalyptus road flare,1
114,114,https://www.theonion.com/cia-interrogator-apologizes-profusely-after-asking-ques-1819575223,cia interrogator apologizes profusely after asking question about touchy subject,1
115,115,https://www.theonion.com/employees-loyalty-garners-ceos-contempt-1819567500,employee's loyalty garners ceo's contempt,1
116,116,https://www.theonion.com/underworld-health-organization-launches-initiative-to-i-1819578120,underworld health organization launches initiative to improve incubus immortality rate,1
117,117,https://www.huffingtonpost.com/entry/a-bad-moms-christmas-red-band-trailer_us_59afe192e4b0dfaafcf4201e,"in the 'bad moms christmas' trailer, the bad moms' moms are crashing the party",0
118,118,https://www.huffingtonpost.com/entry/11-great-things-about-preschoolers_b_5069465.html,11 great things about preschoolers,0
119,119,https://www.theonion.com/taco-bell-to-offer-discreet-purchasing-charged-under-t-1819578288,taco bell to offer discreet purchasing charged under 'tbfoodsllc',1
120,120,https://www.theonion.com/epa-warns-americans-not-to-breathe-1819574944,epa warns americans not to breathe,1
121,121,https://www.theonion.com/queen-elizabeth-rushed-to-hospital-for-royal-blood-tran-1819579710,queen elizabeth rushed to hospital for royal blood transfusion,1
122,122,https://www.huffingtonpost.com/entry/atlantic-city-votes-to-protect-its-water-from-chris_us_5967bd5ce4b022bb9372b000,atlantic city votes to protect its water from chris christie,0
123,123,https://www.huffingtonpost.com/entry/iggy-azalea-lorde-nirvana_n_5465205.html,iggy azalea slams lorde's nirvana tribute,0
124,124,https://www.huffingtonpost.com/entry/this-sneaky-wine-purse-is-the-answer-to-every-winos-prayers_us_5776908be4b09b4c43c03021,this sneaky wine purse is the answer to every wino's prayers,0
125,125,https://www.huffingtonpost.com/entry/senate-amendment-heroin-suboxone_us_56e9e754e4b065e2e3d86ea3,senate amendment would dramatically improve how doctors treat heroin addiction,0
126,126,https://www.huffingtonpost.com/entry/living-life-with-mindfuln_b_6921386.html,living life with mindfulness and love,0
127,127,https://www.huffingtonpost.com/entry/white-nose-syndrome-bats_n_5578359.html,hints of hope emerge in deadly american bat plague,1
128,128,https://entertainment.theonion.com/nader-polling-at-8-percent-among-past-supporters-1819567563,nader polling at 8 percent among past supporters,1
129,129,https://entertainment.theonion.com/robin-williams-body-hair-mowing-project-enters-third-we-1819586383,robin williams body-hair-mowing project enters third week,1
130,130,https://www.huffingtonpost.com/entry/5-signs-you-could-be-wear_b_6489578.html,5 signs your hair color choice is making you look duller and older,0
131,131,https://www.huffingtonpost.comhttp://www.vibe.com/2016/02/roots-picnic-2016-lineup-usher-future-swizz-beatz-kehlani/,"roots picnic 2016 will bring usher, future, swizz beatz, kehlani & more",0
132,132,https://www.huffingtonpost.com/entry/most-latinos-dont-believe-they-need-to-be-able-to-do-this-to-be-latino_us_56cc9bcde4b041136f18712e,most latinos don't believe they need to be able to do this to be latino,0
133,133,https://local.theonion.com/hand-gestures-transform-friend-s-story-into-immersive-v-1819577710,hand gestures transform friend's story into immersive virtual reality experience,1
134,134,https://www.huffingtonpost.com/entry/the-nightmare-of-gaza-con_b_5601723.html,the nightmare of gaza continues,0
135,135,https://www.huffingtonpost.com/entry/house-gop-sanctuary-cities_us_55b10902e4b0a9b94853d4a7,house republicans vote to penalize local law enforcement over immigration policies,0
136,136,https://www.theonion.com/family-wealthy-enough-to-have-the-kind-of-refrigerator-1819576297,family wealthy enough to have the kind of refrigerator doors that blend into cabinets,1
137,137,https://www.huffingtonpost.com/entry/evangelical-leaders-nashville-statement_us_59a5b705e4b00795c2a217fc,evangelical leaders release anti-lgbtq statement on human sexuality,0
138,138,https://www.huffingtonpost.com/entry/cheese-advent-calendar_us_58406e9ae4b017f37fe35d88,this cheese advent calendar is nacho typical yuletide treat,1
139,139,https://www.theonion.com/powerball-officials-remove-plastic-balls-from-pig-urine-1819592451,powerball officials remove plastic balls from pig urine brine,1
140,140,https://www.huffingtonpost.com/entry/chris-martin-says-he-and-_n_5628215.html,chris martin says he and gwyneth paltrow are 'very close',0
141,141,https://www.huffingtonpost.com/entry/most-depressing-ebay-listing-ever_n_7622978.html,jilted bride penned the world's most depressing ebay listing,1
142,142,https://www.theonion.com/man-taking-photo-with-ipad-oblivious-to-how-badass-he-l-1819575388,man taking photo with ipad oblivious to how badass he looks,0
143,143,https://www.huffingtonpost.comhttp://money.cnn.com/2015/10/30/media/cnbc-gop-debate-reactions-shellshocked/index.html?iid=Lead,'shell-shocked' cnbc staffers had long flight home,1
144,144,https://www.theonion.com/just-opened-factory-to-create-250-new-jobs-170-new-can-1819564665,"just-opened factory to create 250 new jobs, 170 new cancer cases",1
145,145,https://entertainment.theonion.com/tv-critics-admit-to-never-having-watched-the-wire-1819569581,tv critics admit to never having watched the wire,0
146,146,https://www.huffingtonpost.com/entry/after-4-years-living-in-asia-im-suddenly-a-minority-again-and-it-sucks_us_5a32ef43e4b0ff955ad158b2,"after 4 years living in asia, i'm suddenly a minority again (and it sucks)",0
147,147,https://www.huffingtonpost.comhttps://www.washingtonpost.com/news/worldviews/wp/2016/05/26/pakistani-husbands-can-lightly-beat-their-wives-islamic-council-says/,"pakistani husbands can 'lightly beat' their wives, islamic council says",0
148,148,https://entertainment.theonion.com/ghost-hunters-enjoys-surprising-100-success-rate-1819572543,'ghost hunters' enjoys surprising 100% success rate,1
149,149,https://local.theonion.com/friend-attempting-to-provide-comfort-has-no-clue-what-t-1819576193,friend attempting to provide comfort has no clue what the fuck she's talking about,1
150,150,https://local.theonion.com/right-side-of-fish-tank-where-all-the-action-at-1819592913,right side of fish tank where all the action at,1
151,151,https://www.huffingtonpost.com/entry/the-westworld-mystery-that-started-it-all-may-finally-be-solved_us_5aec54cce4b0ab5c3d64ae5a,the 'westworld' mystery that started it all might finally be solved,0
152,152,https://www.huffingtonpost.com/entry/32-gifts-people-with-anxiety-really-want-for-the-holidays_us_5a21c08be4b0545e64bf931f,32 gifts people with anxiety really want for the holidays,0
153,153,https://www.huffingtonpost.com/entry/the-billionaire-journalist_us_591078ede4b046ea176aed43,the billionaire journalist,0
154,154,https://www.huffingtonpost.com/entry/gop-health-care-bill-women_us_595292eee4b02734df2dc30d,gop health care bill disinvests in women's health,0
155,155,https://local.theonion.com/diners-slightly-unnerved-that-waitress-didnt-write-down-1819565892,diners slightly unnerved that waitress didn't write down order,1
156,156,https://www.huffingtonpost.com/entry/california-cities-smog_n_5244569.html,cities in this state have the worst smog,0
157,157,https://www.huffingtonpost.com/entry/israel-gaza-border-protests-teen-killed_us_5ae4631ae4b055fd7fcc2140,palestinian teen dies after being shot by israeli forces in gaza protests,0
158,158,https://www.theonion.com/nation-begs-disaffected-youth-gravitating-toward-neo-na-1819580174,nation begs disaffected youth gravitating toward neo-nazism to get high and play xbox instead,1
159,159,https://www.huffingtonpost.com/entry/ted-cruz-marijuana_n_6764430.html,ted cruz voices support for states' right to legalize marijuana,0
160,160,https://www.huffingtonpost.com/entry/a-crow-didnt-touch-me-i-g_b_6315892.html,"a crow didn't touch me, i got my period",1
161,161,https://www.huffingtonpost.com/entry/sexual-assault-transcripts-atixa_us_560420d0e4b0fde8b0d18d42,"students punished for sexual assault should have transcripts marked, title ix group says",0
162,162,https://www.huffingtonpost.com/entry/is-sportswear-the-key-to_b_12274188.html,can sportswear make sustainability cool?,0
163,163,https://entertainment.theonion.com/nbc-announces-fall-cancellation-lineup-1819571626,nbc announces fall cancellation lineup,1
164,164,https://www.huffingtonpost.com/entry/jaime-king-abuse-lady-gaga_us_56d593c0e4b0bf0dab33513b,jaime king reveals she experienced 'years of abuse as a minor' in moving message,1
165,165,https://www.huffingtonpost.com/entry/elizabeth-warren-alexander-acosta-workplace-safety_us_58d29f04e4b02d33b7479ba8,elizabeth warren grills trump's labor nominee over workplace safety,0
166,166,https://local.theonion.com/34-year-old-man-may-as-well-keep-pursuing-dream-at-this-1819578548,34-year-old man may as well keep pursuing dream at this point,1
167,167,https://www.huffingtonpost.com/entry/we-need-to-reverse-the-tr_b_5691310.html,humanitarians shouldn't have to risk their own lives in order to save others,0
168,168,https://www.huffingtonpost.com/entry/kinki-university_n_5379588.html,kinki university to change its name because you know why,0
169,169,https://sports.theonion.com/jerry-sandusky-hoping-judge-takes-it-easy-on-him-with-s-1819574017,jerry sandusky hoping judge takes it easy on him with sentencing,0
170,170,https://www.theonion.com/report-89-of-americans-just-want-to-go-home-right-now-1819575171,report: 89% of americans just want to go home right now,1
171,171,https://politics.theonion.com/neil-gorsuch-vows-to-interpret-constitution-using-scali-1819579621,neil gorsuch vows to interpret constitution using scalia's original intent,0
172,172,https://www.huffingtonpost.comhttp://www.politico.com/story/2016/05/donald-trump-money-net-worth-223662,"donald trump is as rich as he says, if you do the accounting wrong",0
173,173,https://www.huffingtonpost.com/entry/ben-affleck-anne-marie-losique-interview-2004_us_59de6926e4b0eb18af05bd07,host who ben affleck got handsy with in 2004 says it was an 'on-camera game',0
174,174,https://www.theonion.com/nations-dogs-dangerously-underpetted-say-dogs-1819566850,"nation's dogs dangerously underpetted, say dogs",1
175,175,https://www.huffingtonpost.com/entry/us-figure-skating-asian-americans_us_5a7defbbe4b08dfc9303e5c4,u.s. figure skating team makes history with record number of asian-americans,0
176,176,https://www.huffingtonpost.com/entry/waska-tatay_n_5611515.html,breathtaking photos of witch doctors and healers reveal the spiritual diversity of bolivia,0
177,177,https://www.theonion.com/tsarnaev-death-penalty-a-warning-to-any-other-religious-1819592186,tsarnaev death penalty a warning to any other religious fanatics hoping to be martyred,1
178,178,https://www.huffingtonpost.com/entry/americans-shouldnt-have-to-live-under-the-constant-threat-of-gun-violence_us_59418204e4b003d5948cdd84,we deserve better,0
179,179,https://www.huffingtonpost.com/entry/hungary-gay-sex-trafficking-ring_us_5894bdf9e4b040613136aa35,men face up to 200 years in prison for gay sex trafficking,0
180,180,https://www.huffingtonpost.com/entry/arthamptons-lifetime-achi_b_7724498.html,arthamptons lifetime achievement award: ruth appelhof at the maidstone,0
181,181,https://www.huffingtonpost.com/entry/california-police-dhs-immigration-raids_us_58b0488be4b0780bac288325,california police chief lashes out at dhs over immigration raids,0
182,182,https://www.theonion.com/ceo-would-trade-5-percent-of-stock-options-for-10-perce-1819566625,ceo would trade 5 percent of stock options for 10 percent more time with his kids,0
183,183,https://entertainment.theonion.com/jon-bon-jovi-jealous-of-former-classmate-who-made-it-ou-1826035699,jon bon jovi jealous of former classmate who made it out of jersey,0
184,184,https://www.huffingtonpost.com/entry/hillary-clinton-illinois-primary-rahm-emanuel_us_56e7177ae4b0b25c9182e2bb,people hate rahm emanuel so much it might cost hillary clinton illinois,0
185,185,https://www.theonion.com/black-man-in-support-of-confederate-flag-triples-his-me-1819577939,black man in support of confederate flag triples his media appearance rates,0
186,186,https://www.theonion.com/pope-francis-rides-into-st-peter-s-square-on-giant-glo-1819579843,pope francis rides into st. peter's square on giant glowing lamb for easter mass,1
187,187,https://www.huffingtonpost.com/entry/rick-perry-donald-trump-border-wall_us_5783b228e4b01edea78ea889,rick perry on donald trump's proposed border wall: 'you can't do that',0
188,188,https://www.huffingtonpost.com/entry/four-simple-tips-to-make-_b_6576684.html,four simple tips to make your engagement session rock,0
189,189,https://www.huffingtonpost.com/entry/supreme-court-justice-sotomayor-continues-duties-after-breaking-shoulder_us_5ad606f4e4b077c89cecfd98,supreme court justice sotomayor continues duties after breaking shoulder,1
190,190,https://www.huffingtonpost.com/entry/the-resurrection-accordin_1_b_6959794.html,"the resurrection according to scifi, part 3: harry potter",0
191,191,https://www.huffingtonpost.com/entry/boo-2-a-madea-halloween-box-office_us_59ecfa97e4b0a484d063f1c7,'boo 2! a madea halloween' leads a sluggish weekend at the box office,0
192,192,https://www.huffingtonpost.com/entry/jewish-refugees-holocaust-trump_us_588bbb21e4b08a14f7e5e7ca,dear president trump: our grandparents were refugees. this is their story.,0
